candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,githubUrl,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
1,2001,Extreme Correlation of International Equity Markets,"F. Longin, Bruno Solnik",,2001-04-01,2646,131,250.745,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"Positions Extreme Correlation of International Equity Markets within General Finance, Surveys, and Trading Systems.","high citation signal (2,646); influential citation signal (131)","Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1111/0022-1082.00340,https://www.semanticscholar.org/paper/34193674bc8d59cf9ccee38f0523b3270b23682c,,,10.1111/0022-1082.00340,,,6143150,Business; Economics,,equity returns; stock returns,2,citations=2646; influential=131; open PDF metadata; title trade matches=2; trade term matches=2; query hits=2,
2,2001,Investor Psychology and Asset Pricing,David Hirshleifer,,2001-02-26,2469,174,259.17,"Risk, Volatility, and Forecast Evaluation",survey/review; asset-pricing; risk/volatility,risk-volatility; asset-pricing,The basic paradigm of asset pricing is in vibrant flux.,"high citation signal (2,469); influential citation signal (174); open-access PDF metadata",Risk forecasts can fail under regime breaks and extreme events.; Choice of loss function strongly affects model rankings.; Citation counts do not prove suitability for a specific mandate or risk budget.,https://doi.org/10.2139/SSRN.265132,https://www.semanticscholar.org/paper/61699d423f31b73f4d430281e62bba426a22a32e,https://mpra.ub.uni-muenchen.de/5300/1/MPRA_paper_5300.pdf,,10.2139/SSRN.265132,,,2740638,Economics; Psychology,Review,securities market,1,citations=2469; influential=174; survey/benchmark signal; investment validation signal; open PDF metadata; title trade matches=1; trade term matches=2,"The basic paradigm of asset pricing is in vibrant flux. The purely rational approach is being subsumed by a broader approach based upon the psychology of investors. In this approach, security expected returns are determined by both risk and misvaluation. This survey sketches a framework for understanding decision biases, evaluates the a priori arguments and the capital market evidence bearing on the importance of investor psychology for security prices, and reviews recent models.Presentation slides: https://ssrn.com/abstract=3181614."
3,2001,Capital Markets Research in Accounting,"S. Kothari, I. Thank, Jeffery Abarbanell, Anwer S. Ahmed, Sudipta Basu, Patricia M. Dechow, Dan Gode, W. Guay, et al.",,2001-03-01,2434,244,255.567,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"Positions Capital Markets Research in Accounting within General Finance, Surveys, and Trading Systems.","high citation signal (2,434); influential citation signal (244)","Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1016/S0165-4101(01)00030-1,https://www.semanticscholar.org/paper/fe2eb7197e486923134e8d37f0913d9041bbfe48,,,10.1016/S0165-4101(01)00030-1,,,154717189,Business; Economics,Review,capital markets investment,1,citations=2434; influential=244; open PDF metadata; title trade matches=2; trade term matches=2,
4,2001,The distribution of realized stock return volatility,"Torben G. Andersen, Tim Bollerslev, F. Diebold, Heiko Ebens",,2001-07-01,2217,261,258.453,"Risk, Volatility, and Forecast Evaluation",risk/volatility,stock-prediction; risk-volatility,"Positions The distribution of realized stock return volatility within Risk, Volatility, and Forecast Evaluation.","high citation signal (2,217); influential citation signal (261); open-access PDF metadata",Risk forecasts can fail under regime breaks and extreme events.; Choice of loss function strongly affects model rankings.; Citation counts do not prove suitability for a specific mandate or risk budget.,https://doi.org/10.1016/S0304-405X(01)00055-1,https://www.semanticscholar.org/paper/4d94e5eea35e01f529ca364dff52730535cd745b,http://finance.martinsewell.com/stylized-facts/volatility/Andersen-etal2001a.pdf,,10.1016/S0304-405X(01)00055-1,,,14083693,Economics,,equity returns; stock returns,2,citations=2217; influential=261; investment validation signal; open PDF metadata; title trade matches=1; trade term matches=1; query hits=2,
5,2001,"Consumption, aggregate wealth and expected stock returns","M. Lettau, Sydney C. Ludvigson",,2001-06-01,2123,251,252.955,Asset Pricing and Return Predictability,metadata-ranked,asset-pricing,"Positions Consumption, aggregate wealth and expected stock returns within Asset Pricing and Return Predictability.","high citation signal (2,123); influential citation signal (251); open-access PDF metadata","Return predictability can disappear after transaction costs, crowding, and multiple-testing correction.; Citation impact can favor well-known anomalies even when live performance later weakens.; Metadata cannot verify whether data-snooping controls were adequate.",https://doi.org/10.1111/0022-1082.00347,https://www.semanticscholar.org/paper/493cf3b988780efde51a84e87af276d0becc2103,https://www.newyorkfed.org/medialibrary/media/research/staff_reports/sr77.html,,10.1111/0022-1082.00347,,,6960348,Economics,,stock returns,1,citations=2123; influential=251; open PDF metadata; title trade matches=2; trade term matches=2,
6,2001,The Geography of Investment: Informed Trading and Asset Prices,"Joshua D. Coval, Tobias J. Moskowitz",Journal of Political Economy,2001-08-01,1884,120,239.058,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"Positions The Geography of Investment: Informed Trading and Asset Prices within General Finance, Surveys, and Trading Systems.","high citation signal (1,884); influential citation signal (120); open-access PDF metadata","Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1086/322088,https://www.semanticscholar.org/paper/51ce12ffdccc54935d14926433465deaa64438db,http://fmwww.bc.edu/RePEc/es2000/1379.pdf,,10.1086/322088,,,5827388,Business; Economics; Geography,,mutual fund performance stocks; securities trading investment,2,citations=1884; influential=120; open PDF metadata; title trade matches=1; trade term matches=1; query hits=2,
7,2001,The Stock Market Valuation of Research and Development Expenditures,"Louis K. C. Chan, Josef Lakonishok, Josef Lakonishok, Theodore Sougiannis",,2001-12-01,1874,126,241.619,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"Positions The Stock Market Valuation of Research and Development Expenditures within General Finance, Surveys, and Trading Systems.","high citation signal (1,874); influential citation signal (126); open-access PDF metadata","Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1111/0022-1082.00411,https://www.semanticscholar.org/paper/04226c25f46fb52f195d3a21ce4c22ef426d4b45,http://www.nber.org/papers/w7223.pdf,,10.1111/0022-1082.00411,,,55779566,Business; Economics,,asset pricing stock returns; equity returns; stock returns; value investing stock market,4,citations=1874; influential=126; open PDF metadata; title trade matches=1; trade term matches=1; query hits=4,
8,2001,Stock Return Predictability: Is it There?,"G. Bekaert, Andrew Ang",,2001-03-04,1630,277,251.52,Asset Pricing and Return Predictability,forecasting; asset-pricing,stock-prediction,Positions Stock Return Predictability: Is it There? within Asset Pricing and Return Predictability.,"high citation signal (1,630); influential citation signal (277); open-access PDF metadata","Return predictability can disappear after transaction costs, crowding, and multiple-testing correction.; Citation impact can favor well-known anomalies even when live performance later weakens.; Metadata cannot verify whether data-snooping controls were adequate.",https://doi.org/10.2139/SSRN.262315,https://www.semanticscholar.org/paper/2d2d3a8a9c467877fbbde09dd0817a201db91469,http://papers.nber.org/papers/w8207.pdf,,10.2139/SSRN.262315,,,11854298,Economics; Mathematics,,equity returns; risk premium stock returns; stock returns,3,citations=1630; influential=277; open PDF metadata; title trade matches=2; trade term matches=2; query hits=3,
9,2001,Market Liquidity and Trading Activity,"Tarun Chordia, Richard Roll, A. Subrahmanyam",,2001-04-01,1531,93,228.961,Market Microstructure and High-Frequency Trading,microstructure,high-frequency,Positions Market Liquidity and Trading Activity within Market Microstructure and High-Frequency Trading.,"high citation signal (1,531); influential citation signal (93)","High-frequency results depend heavily on market access, latency, fees, and order-book reconstruction quality.; Public metadata rarely reveals execution assumptions.; Short-horizon predictability can vanish when capacity and competition are considered.",https://doi.org/10.1111/0022-1082.00335,https://www.semanticscholar.org/paper/f7a7d072dff240e5f60500a43763f0bb5e5653b8,,,10.1111/0022-1082.00335,,,312069,Business; Economics,,securities market,1,citations=1531; influential=93; open PDF metadata; title trade matches=1; trade term matches=1,
10,2001,Equity Premia as Low as Three Percent? Evidence from Analysts' Earnings Forecasts for Domestic and International Stock Markets,"James J. Claus, Jacob K. Thomas",,2001-10-01,1429,207,242.565,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"Positions Equity Premia as Low as Three Percent? Evidence from Analysts' Earnings Forecasts for Domestic and International Stock Markets within General Finance, Surveys, and Trading Systems.","high citation signal (1,429); influential citation signal (207)","Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1111/0022-1082.00384,https://www.semanticscholar.org/paper/7d6ffa989c2e117cbd19991bbd435550aa757e14,,,10.1111/0022-1082.00384,,,14049154,Economics,Review,analyst forecasts stock returns; equity market forecasting; equity returns; stock returns,4,citations=1429; influential=207; open PDF metadata; title trade matches=1; trade term matches=1; query hits=4,
11,2001,Financial Constraints and Stock Returns,"O. Lamont, Christopher Polk, Jesús Saá-Requejo",,2001-04-01,1377,79,229.373,Asset Pricing and Return Predictability,metadata-ranked,asset-pricing,Positions Financial Constraints and Stock Returns within Asset Pricing and Return Predictability.,"high citation signal (1,377); influential citation signal (79); open-access PDF metadata","Return predictability can disappear after transaction costs, crowding, and multiple-testing correction.; Citation impact can favor well-known anomalies even when live performance later weakens.; Metadata cannot verify whether data-snooping controls were adequate.",https://doi.org/10.2139/SSRN.113336,https://www.semanticscholar.org/paper/98e5c68d8921fcf721fb3b5ae9fffba90daa834f,http://papers.nber.org/papers/w6210.pdf,,10.2139/SSRN.113336,,,73555238,Business; Economics,,asset pricing stock returns; stock returns,2,citations=1377; influential=79; open PDF metadata; title trade matches=2; trade term matches=2; query hits=2,
12,2001,Investor Sentiment and the Near-Term Stock Market,"Gregory W. Brown, Michael T. Cliff",,,1354,154,238.262,"Sentiment, News, and Alternative Data",sentiment/text,stock-prediction; sentiment-altdata; behavioral-finance,"Positions Investor Sentiment and the Near-Term Stock Market within Sentiment, News, and Alternative Data.","high citation signal (1,354); influential citation signal (154)",Timestamp alignment and look-ahead bias are critical for text and alternative-data studies.; Sentiment signals can decay quickly as information becomes crowded.; Data licensing and coverage bias can limit reproducibility.,https://doi.org/10.1016/J.JEMPFIN.2002.12.001,https://www.semanticscholar.org/paper/3e663e2e4519f5499f52857796e7edddc4aeb5e0,,,10.1016/J.JEMPFIN.2002.12.001,,,154470957,Economics,Review,investor sentiment stock returns; stock returns,2,citations=1354; influential=154; open PDF metadata; title trade matches=2; trade term matches=2; query hits=2,
13,2001,Equity Portfolio Diversification,"Will Goetzmann, Alok Kumar",,,1184,70,226.382,Portfolio Optimization and Asset Allocation,portfolio,portfolio,Positions Equity Portfolio Diversification within Portfolio Optimization and Asset Allocation.,"high citation signal (1,184); influential citation signal (70); open-access PDF metadata","Allocation gains can be dominated by estimation error, turnover, short-sale constraints, and benchmark choice.; Backtests may hide capacity and liquidity limits.; Metadata cannot confirm implementation details such as costs, leverage, or rebalancing rules.",https://doi.org/10.1093/ROF/RFN005,https://www.semanticscholar.org/paper/fff02af2c4d6acc0a0098091a11db047a935407d,https://academic.oup.com/rof/article-pdf/12/3/433/9343549/rfn005.pdf,,10.1093/ROF/RFN005,,,15803634,Business; Economics,,capital markets investment; equity portfolio performance,2,citations=1184; influential=70; investment validation signal; open PDF metadata; title trade matches=1; trade term matches=1; query hits=2,
